Fornavne til mænd pr. 1. januar 2015

Navn	ANTAL
MORITZ	62
YUSEF	62
ANTONY	61
ARAS	61
CALEB	61
CSABA	61
DON	61
DYLAN	61
FARAH	61
FRANCOIS	61
HISHAM	61
LAURS	61
LONG	61
MEHRAN	61
NECATI	61
SIGGE	61
TADAS	61
TOLGA	61
TUNE	61
VAIDAS	61
ANDRAS	60
BESIM	60
CONNY	60
DIMITRI	60
ENZO	60
GUY	60
HUSEYIN	60
HØGNI	60
IRENEUSZ	60
KAZIM	60
LOGAN	60
MAHMUD	60
NAEEM	60
NEVZAT	60
NIGEL	60
RIAD	60
SUAD	60
THOMMAS	60
TRUNG	60
VEYSEL	60
ALEXANDROS	59
ELMAR	59
ERDOGAN	59
FELIPE	59
GEDIMINAS	59
HAMIT	59
IWAN	59
LAWRENCE	59
MALCOLM	59
MARTINS	59
MICKLAS	59
MIRCEA	59
MOUSTAFA	59
SAXO	59
SULTAN	59
WASSIM	59
ZIYA	59
ALPER	58
AMIT	58
ANH	58
ASTON	58
CEZARY	58
DARREN	58
EDDI	58
ELTON	58
FRED	58
GØSTA	58
HUY	58
LUIGI	58
PRINCE	58
SALOMON	58
SAMMI	58
SANEL	58
TALHA	58
THERKEL	58
THORSTEIN	58
WASIM	58
ANEL	57
BJARKI	57
DENNY	57
ELDIN	57
FRANCO	57
JANNEK	57
JOSIAS	57
KAWA	57
LEWIS	57
MAHMOOD	57
RAM	57
REMZI	57
SHAHRAM	57
SOHAIL	57
STEIN	57
TAMER	57
TORMOD	57
VINH	57
VITALIY	57
ANIS	56
ARTURS	56
ARUN	56
BATUHAN	56
CASPIAN	56
ERSIN	56
HARRIS	56
JANEK	56
KORNELIUS	56
LIVIU	56
MEMET	56
REDA	56
RUNI	56
SASCHA	56
SERVET	56
THOM	56
ABDELKADER	55
AKBAR	55
ARNI	55
CONNOR	55
EDGARAS	55
FEVZI	55
HANS-JÜRGEN	55
HEIKO	55
HIKMET	55
HONG	55
IONEL	55
JONNI	55
KASHIF	55
KENNEY	55
KRISHNA	55
LAITH	55
